geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-76.22314453125 36.89719244699134, -76.26708984375 36.8620406729112)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,5.5277438102024,13,US,LEVEL4,29,54.6,-25.6,-46.043165467626,0,-3.0751998726675,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331223,0320102333000
"LINESTRING (-76.22314453125 36.89719244699134, -76.26708984375 36.89719244699134)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,3.9078055860392,13,US,LEVEL4,19,35.6,-16.6,-45.355191256831,0,-2.452874616947,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331223,0320102331222
"LINESTRING (-76.22314453125 36.89719244699134, -76.26708984375 36.9323280378846)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,5.5251989452417,13,US,LEVEL4,22,27.8,-5.8,-20.138888888889,0,-1.0922031868743,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331223,0320102331220
"LINESTRING (-76.22314453125 36.89719244699134, -76.31103515625 36.9323280378846)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,8.7361064877089,13,US,LEVEL4,10,16.4,-6.4,-36.781609195402,0,-4,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331223,0320102330331
"LINESTRING (-76.22314453125 36.9323280378846, -76.13525390625 36.8268727214275)",2020-04-28 1600,1425138,Norfolk,1425160,Virginia Beach,14.093035503537,13,US,LEVEL4,12,17.6,-5.6,-30.10752688172,0,-0.9853414803089,36.893270935592,-76.261099671982,36.751151009494,-76.058616310492,0320102331221,0320102333013
"LINESTRING (-76.22314453125 36.9323280378846, -76.17919921875 36.8620406729112)",2020-04-28 1600,1425138,Norfolk,1425160,Virginia Beach,8.7381183653832,13,US,LEVEL4,19,19,0,0,0,0,36.893270935592,-76.261099671982,36.751151009494,-76.058616310492,0320102331221,0320102333010
"LINESTRING (-76.22314453125 36.9323280378846, -76.17919921875 36.89719244699134)",2020-04-28 1600,1425138,Norfolk,1425160,Virginia Beach,5.5251989452417,13,US,LEVEL4,10,11.6,-1.6,-12.698412698413,0,-1.4032928308912,36.893270935592,-76.261099671982,36.751151009494,-76.058616310492,0320102331221,0320102331232
"LINESTRING (-76.22314453125 36.9323280378846, -76.22314453125 36.89719244699134)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,3.9069055843071,13,US,LEVEL4,24,39.2,-15.2,-37.810945273632,0,-4,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331221,0320102331223
"LINESTRING (-76.22314453125 36.9323280378846, -76.22314453125 36.9323280378846)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,0,13,US,LEVEL4,1669,1190.4,478.6,40.171227127749,0,4,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331221,0320102331221
"LINESTRING (-76.22314453125 36.9323280378846, -76.22314453125001 36.8620406729112)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,7.8156106597168,13,US,LEVEL4,24,38.2,-14.2,-36.224489795918,0,-2.112122616446,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331221,0320102333001
"LINESTRING (-76.22314453125 36.9323280378846, -76.26708984375 36.8620406729112)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,8.7381183653832,13,US,LEVEL4,16,28.6,-12.6,-42.567567567568,0,-4,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331221,0320102333000
"LINESTRING (-76.22314453125 36.9323280378846, -76.26708984375 36.89719244699134)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,5.5251989452417,13,US,LEVEL4,20,31,-11,-34.375,0,-2.2223355980149,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331221,0320102331222
"LINESTRING (-76.22314453125 36.9323280378846, -76.26708984375 36.9323280378846)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,3.9060057741017,13,US,LEVEL4,37,40,-3,-7.3170731707317,0,-0.57207755354736,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331221,0320102331220
"LINESTRING (-76.22314453125 36.9323280378846, -76.31103515625 36.8620406729112)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,11.052942462474,13,US,LEVEL4,10,36.4,-26.4,-70.588235294118,0,-4,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331221,0320102332111
"LINESTRING (-76.22314453125 36.9323280378846, -76.31103515625 36.9323280378846)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,7.812011340799,13,US,LEVEL4,12,16.8,-4.8,-26.966292134831,0,-1.4032928308912,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331221,0320102330331
"LINESTRING (-76.22314453125 38.77121431543851, -76.22314453125 38.77121431543851)",2020-04-28 1600,1109596,District 2 St. Michaels,1109596,District 2 St. Michaels,0,13,US,LEVEL4,92,81.6,10.4,12.590799031477,0,1.8589220140482,38.730064921617,-76.230392709667,38.730064921617,-76.230392709667,0320102111003,0320102111003
"LINESTRING (-76.22314453125 38.80546816563135, -76.22314453125 38.80546816563135)",2020-04-28 1600,1109596,District 2 St. Michaels,1109596,District 2 St. Michaels,0,13,US,LEVEL4,40,28.6,11.4,38.513513513514,0,3.8429392160405,38.730064921617,-76.230392709667,38.730064921617,-76.230392709667,0320102111001,0320102111001
"LINESTRING (-76.22314453125 38.97649042533183, -76.22314453125 38.97649042533183)",2020-04-28 1600,1109565,District 5 Queenstown,1109565,District 5 Queenstown,0,13,US,LEVEL4,94,62.2,31.8,50.316455696203,0,4,38.962207782902,-76.157541049044,38.962207782902,-76.157541049044,0320100333023,0320100333023
"LINESTRING (-76.22314453125 39.11301158922029, -76.22314453125 39.11301158922029)",2020-04-28 1600,1109521,District 5 Edesville,1109521,District 5 Edesville,0,13,US,LEVEL4,17,12.6,4.4,32.352941176471,0,1.6285130624347,39.096677695089,-76.216687353205,39.096677695089,-76.216687353205,0320100331223,0320100331223
"LINESTRING (-74.37744140625 40.32979366503048, -74.37744140625 40.32979366503048)",2020-04-28 1600,1206823,Monroe,1206823,Monroe,0,13,US,LEVEL4,164,91.8,72.2,77.801724137931,0,4,40.319199427341,-74.428468731321,40.319199427341,-74.428468731321,0320101120033,0320101120033
"LINESTRING (-76.22314453125 39.14710064491126, -76.22314453125 39.14710064491126)",2020-04-28 1600,1109521,District 5 Edesville,1109521,District 5 Edesville,0,13,US,LEVEL4,89,65,24,36.363636363636,0,4,39.096677695089,-76.216687353205,39.096677695089,-76.216687353205,0320100331221,0320100331221
"LINESTRING (-76.22314453125 39.453159060836114, -76.17919921875 39.52099022538021)",2020-04-28 1600,1109504,District 2 Halls Cross Roads,1109504,District 2 Halls Cross Roads,8.4327637527948,13,US,LEVEL4,17,10.4,6.6,57.894736842105,0,1.4135646916978,39.49013256834,-76.176455936483,39.49013256834,-76.176455936483,0320100313203,0320100313032
"LINESTRING (-76.22314453125 39.453159060836114, -76.22314453125 39.453159060836114)",2020-04-28 1600,1109504,District 2 Halls Cross Roads,1109504,District 2 Halls Cross Roads,0,13,US,LEVEL4,162,135.2,26.8,19.676945668135,0,2.7760471480579,39.49013256834,-76.176455936483,39.49013256834,-76.176455936483,0320100313203,0320100313203
"LINESTRING (-76.22314453125 39.453159060836114, -76.31103515624999 39.41921866980341)",2020-04-28 1600,1109504,District 2 Halls Cross Roads,1109503,District 1 Abingdon,8.4389321701872,13,US,LEVEL4,22,11.4,10.6,85.483870967742,0,4,39.49013256834,-76.176455936483,39.428714914519,-76.295192576803,0320100313203,0320100312331
"LINESTRING (-76.22314453125 39.52099022538021, -76.22314453125 39.52099022538021)",2020-04-28 1600,1109505,District 3 Bel Air,1109505,District 3 Bel Air,0,13,US,LEVEL4,46,33.8,12.2,35.057471264368,0,4,39.553408935762,-76.339131914897,39.553408935762,-76.339131914897,0320100313023,0320100313023
"LINESTRING (-76.22314453125 39.554880991259985, -76.22314453125 39.554880991259985)",2020-04-28 1600,1109504,District 2 Halls Cross Roads,1109504,District 2 Halls Cross Roads,0,13,US,LEVEL4,37,28,9,31.034482758621,0,2.2860022860034,39.49013256834,-76.176455936483,39.49013256834,-76.176455936483,0320100313021,0320100313021
"LINESTRING (-76.22314453125 39.588755207832264, -76.22314453125 39.588755207832264)",2020-04-28 1600,1109504,District 2 Halls Cross Roads,1109504,District 2 Halls Cross Roads,0,13,US,LEVEL4,22,10.4,11.6,101.75438596491,0,3.9103592022868,39.49013256834,-76.176455936483,39.49013256834,-76.176455936483,0320100313003,0320100313003
"LINESTRING (-76.22314453125 39.65645397806613, -76.22314453125 39.65645397806613)",2020-04-28 1600,1109507,District 5 Dublin,1109507,District 5 Dublin,0,13,US,LEVEL4,76,55.8,20.2,35.56338028169,0,4,39.666938306042,-76.296835892334,39.666938306042,-76.296835892334,0320100311223,0320100311223
"LINESTRING (-76.22314453125 39.69027852429607, -76.22314453125 39.69027852429607)",2020-04-28 1600,1109507,District 5 Dublin,1109507,District 5 Dublin,0,13,US,LEVEL4,22,15.2,6.8,41.975308641975,0,2.8482065763835,39.666938306042,-76.296835892334,39.666938306042,-76.296835892334,0320100311221,0320100311221
"LINESTRING (-76.22314453125 39.79165276337068, -76.22314453125 39.79165276337068)",2020-04-28 1600,1408738,Drumore,1408738,Drumore,0,13,US,LEVEL4,17,10.4,6.6,57.894736842105,0,1.7766602767919,39.813567623438,-76.248671839264,39.813567623438,-76.248671839264,0320100311023,0320100311023
"LINESTRING (-76.22314453125 39.92658634825569, -76.22314453125 39.92658634825569)",2020-04-28 1600,1408771,Providence,1408771,Providence,0,13,US,LEVEL4,50,37.2,12.8,33.507853403141,0,4,39.909085624727,-76.233140102886,39.909085624727,-76.233140102886,0320100133223,0320100133223
"LINESTRING (-76.22314453125 40.02761236253704, -76.22314453125 40.02761236253704)",2020-04-28 1600,1408745,East Lampeter,1408745,East Lampeter,0,13,US,LEVEL4,439,366.4,72.6,19.760479041916,0,3.6017470533176,40.037286664064,-76.21587565006,40.037286664064,-76.21587565006,0320100133201,0320100133201
"LINESTRING (-76.22314453125 40.02761236253704, -76.31103515624999 40.02761236253704)",2020-04-28 1600,1408745,East Lampeter,1408753,Lancaster city,7.4835290381082,13,US,LEVEL4,27,43,-16,-36.363636363636,0,-4,40.037286664064,-76.21587565006,40.041874979756,-76.300951542363,0320100133201,0320100132311
"LINESTRING (-76.22314453125 40.02761236253704, -76.31103515625 40.06125450602933)",2020-04-28 1600,1408745,East Lampeter,1408759,Manheim township,8.3647759465333,13,US,LEVEL4,18,23,-5,-20.833333333333,0,-0.92057461789832,40.037286664064,-76.21587565006,40.094286499194,-76.297310062088,0320100133201,0320100132133
"LINESTRING (-76.22314453125 40.02761236253704, -76.35498046875001 40.06125450602933)",2020-04-28 1600,1408745,East Lampeter,1408744,East Hempfield,11.829579040651,13,US,LEVEL4,13,14.2,-1.2,-7.8947368421053,0,-0.26062334565784,40.037286664064,-76.21587565006,40.082443785742,-76.383065455578,0320100133201,0320100132132
"LINESTRING (-74.37744140625001 39.588755207832264, -74.33349609374999 39.588755207832264)",2020-04-28 1600,1206947,Little Egg Harbor,1206964,Tuckerton,3.7657268257211,13,US,LEVEL4,22,19.4,2.6,12.745098039216,0,1.2538313376431,39.617604830123,-74.356766044706,39.597827431492,-74.330910113867,0320101302013,0320101302102
"LINESTRING (-76.22314453125 40.06125450602933, -76.22314453125 40.06125450602933)",2020-04-28 1600,1408745,East Lampeter,1408745,East Lampeter,0,13,US,LEVEL4,85,117.4,-32.4,-27.364864864865,0,-4,40.037286664064,-76.21587565006,40.037286664064,-76.21587565006,0320100133023,0320100133023
"LINESTRING (-76.22314453125 40.09488004652303, -76.22314453125 40.09488004652303)",2020-04-28 1600,1408779,Upper Leacock,1408779,Upper Leacock,0,13,US,LEVEL4,169,165.2,3.8,2.2864019253911,0,0.3502638888662,40.079919406074,-76.185354505759,40.079919406074,-76.185354505759,0320100133021,0320100133021
