geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon
"LINESTRING (-76.83837890624999 38.97649042533184, -77.03927176339286 39.0155106064305)",2020-04-28 1600,1109558,District 20 Lanham,1109537,District 13,17.895065104574,13,US,LEVEL4,15,33.8,-18.8,-54.022988505747,0,-3.4790960879287,38.958277147911,-76.85457672094,39.044736536287,-77.048813829525
"LINESTRING (-74.57205636160714 39.86968648619288, -74.57205636160714 39.86968648619288)",2020-04-28 1600,1206637,Woodland,1206637,Woodland,0,13,US,LEVEL4,114,93,21,22.340425531915,0,1.9625311167672,39.840080058317,-74.515213261904,39.840080058317,-74.515213261904
"LINESTRING (-76.83837890625 38.90813093681449, -76.77559988839286 38.921154930331774)",2020-04-28 1600,1109551,District 13 Kent,1109545,District 7 Queen Anne,5.6213269440869,13,US,LEVEL4,20,55.4,-35.4,-62.765957446809,0,-3.9021444707021,38.910951816205,-76.840938989982,38.924011782344,-76.744357871119
"LINESTRING (-74.5751953125 39.41072943853417, -74.67250279017857 39.45315906083612)",2020-04-28 1600,1206510,Egg Harbor,1206515,Hamilton,9.5970086850938,13,US,LEVEL4,30,101.8,-71.8,-69.844357976654,0,-4,39.382261842622,-74.615902093702,39.492652513716,-74.743121385684
"LINESTRING (-74.5751953125 39.57181809954612, -74.5751953125 39.57181809954612)",2020-04-28 1600,1206511,Egg Harbor City,1206511,Egg Harbor City,0,13,US,LEVEL4,17,14,3,20,0,1.2247448713916,39.563938022272,-74.596807531112,39.563938022272,-74.596807531112
"LINESTRING (-76.83837890625 38.955607838616324, -76.85221354166667 38.89862969898159)",2020-04-28 1600,1109558,District 20 Lanham,1109551,District 13 Kent,6.4477262181619,13,US,LEVEL4,52,92.6,-40.6,-43.376068376068,0,-4,38.958277147911,-76.85457672094,38.910951816205,-76.840938989982
"LINESTRING (-76.83837890625 38.95769609728787, -76.919677734375 38.88760826309543)",2020-04-28 1600,1109558,District 20 Lanham,1109556,District 18 Seat Pleasant,10.497709046911,13,US,LEVEL4,18,28,-10,-34.48275862069,0,-2.5400025400038,38.958277147911,-76.85457672094,38.887567876031,-76.899015069768
"LINESTRING (-76.83837890625 38.95833681301664, -76.783447265625 38.985029181301506)",2020-04-28 1600,1109558,District 20 Lanham,1109552,District 14 Bowie,5.6000492952082,13,US,LEVEL4,32,43.2,-11.2,-25.339366515837,0,-1.5501822906031,38.958277147911,-76.85457672094,39.004434816707,-76.789157002156
"LINESTRING (-76.83837890625 38.95850542241895, -76.73661081414474 38.942318919797366)",2020-04-28 1600,1109558,District 20 Lanham,1109545,District 7 Queen Anne,8.9825991141621,13,US,LEVEL4,18,30.6,-12.6,-39.873417721519,0,-3.1208776490938,38.958277147911,-76.85457672094,38.924011782344,-76.744357871119
"LINESTRING (-76.83837890625 38.96314218098243, -76.91047668457031 38.994101609519284)",2020-04-28 1600,1109558,District 20 Lanham,1109559,District 21 Berwyn,7.1197863076016,13,US,LEVEL4,65,120.6,-55.6,-45.723684210526,0,-4,38.958277147911,-76.85457672094,39.000205965331,-76.910154046781
"LINESTRING (-76.83837890625 38.9632627457701, -76.97021484375 38.955546599359096)",2020-04-28 1600,1109558,District 20 Lanham,1109555,District 17 Chillum,11.431356553396,13,US,LEVEL4,30,53.4,-23.4,-43.014705882353,0,-3.4576666287084,38.958277147911,-76.85457672094,38.97162208823,-76.972647124463
"LINESTRING (-74.5751953125 40.32979366503048, -74.6337890625 40.31862392296929)",2020-04-28 1600,1206829,Plainsboro,1206810,West Windsor,5.1201850813538,13,US,LEVEL4,17,47.2,-30.2,-62.655601659751,0,-4,40.337811656135,-74.58807528119,40.289546127783,-74.626387160431
"LINESTRING (-76.83837890625 38.963490396052414, -76.90334154211956 38.942318919797366)",2020-04-28 1600,1109558,District 20 Lanham,1109540,District 2 Bladensburg,6.0908169141027,13,US,LEVEL4,91,107.4,-16.4,-15.129151291513,0,-2.1478778069891,38.958277147911,-76.85457672094,38.937180997259,-76.91683728002
"LINESTRING (-76.83837890625 38.96486835038724, -76.83837890625 38.96491177034345)",2020-04-28 1600,1109558,District 20 Lanham,1109558,District 20 Lanham,0.0048280864240552,13,US,LEVEL4,2359,1776.6,582.4,32.763276327633,0,4,38.958277147911,-76.85457672094,38.958277147911,-76.85457672094
